"GlobalID"	"hafasID"	"Langname"	"Kurzname"	"Mast"	"Gleis/Steig"	"Geopos(Lat)"	"Geopos(Long)"	"Tarifzone"	"Barrierefreiheit"	"Linien"
"de:08222:2434"	"2434"	"Gutenbergstraße"	"WOGU"	"243412"	"B"	49.4929181	8.50392	"94"	"Keine"	"60-60,60-E"
"de:08222:2435"	"2435"	"Lortzingstraße"	"NSLO"	"243511"	"B"	49.4972831	8.467655	"94"	"Keine"	"53-53,53-E"
"de:08222:2435"	"2435"	"Lortzingstraße"	"NSLO"	"243512"	"A"	49.4972419	8.4678519	"94"	"Keine"	"53-53,53-E"
"de:08222:2436"	"2436"	"Ludolf-Krehl-Straße"	"WOLK"	"243611"	"B"	49.4972189	8.4921881	"94"	"Keine"	"61-61,61-E"
"de:08222:2436"	"2436"	"Ludolf-Krehl-Straße"	"WOLK"	"243612"	"A"	49.4973119	8.4924031	"94"	"Keine"	"61-61,61-E"
"de:08222:2437"	"2437"	"Zielstraße"	"NSZI"	"243711"	"A"	49.5057711	8.5000211	"94"	"Keine"	"505-5,60-60,60-E"
"de:08222:2437"	"2437"	"Zielstraße"	"NSZI"	"243712"	"B"	49.505485	8.5002011	"94"	"Keine"	"505-5,60-60,60-E"
"de:08222:2438"	"2438"	"Marktplatz"	"MIMA"	"243821"	"A"	49.4892419	8.4675111	"94"	"Ebenerdig"	"1-1,1-E,107-7,14-5A,14-E,15-15,15-E,285-E,290-%,290-E,291-&,292-E,3-3,3-E,4-4,4-4A,4-E,5-5,5-E,501-1,6-E,7-7,7-7A,7-E"
"de:08222:2438"	"2438"	"Marktplatz"	"MIMA"	"243822"	"B"	49.4896039	8.468005	"94"	"Ebenerdig"	"1-1,1-E,107-7,14-5A,14-E,15-15,15-E,285-E,290-%,290-E,291-&,292-E,3-3,3-E,4-4,4-4A,4-E,5-5,5-E,501-1,6-E,7-7,7-7A,7-E"
"de:08222:2439"	"2439"	"Max-Joseph-Straße"	"NSMJ"	"243911"	"B"	49.4996689	8.4763139	"94"	"Rampe"	"501-E,61-61,61-E"
"de:08222:2439"	"2439"	"Max-Joseph-Straße"	"NSMJ"	"243912"	"A"	49.4996339	8.476225	"94"	"Rampe"	"501-E,61-61,61-E"
"de:08222:2440"	"2440"	"Möhlstraße"	"OFMÖ"	"244011"	"A"	49.4746931	8.4871031	"94"	"Rampe"	"106-E,63-63,63-63E,63-E"
"de:08222:2440"	"2440"	"Möhlstraße"	"OFMÖ"	"244012"	"B"	49.4748681	8.4869589	"94"	"Rampe"	"106-E,63-63,63-63E,63-E"
"de:08222:2442"	"2442"	"Moselstraße"	"NSMO"	"244211"	"B"	49.498835	8.4835011	"94"	"Rampe"	"61-61,61-E"
"de:08222:2442"	"2442"	"Moselstraße"	"NSMO"	"244212"	"A"	49.4987939	8.4836181	"94"	"Rampe"	"61-61,61-E"
"de:08222:2443"	"2443"	"Mühldorferstraße"	"OFMÜ"	"244311"	"A"	49.4770969	8.4880819	"94"	"Rampe"	"63-63,63-63E,63-E,64-64,64-E"
"de:08222:2443"	"2443"	"Mühldorferstraße"	"OFMÜ"	"244312"	"B"	49.4769461	8.4880461	"94"	"Rampe"	"63-63,63-63E,63-E,64-64,64-E"
"de:08222:2444"	"2444"	"Nationaltheater"	"MINA"	"244401"	"B"	49.4876431	8.4767731	"94"	"Keine"	"1-1,105-5,107-7,107-E,14-5A,14-E,15-E,2-2,2-E,250-BS,3-3,4-E,5-5,5-E,502-2,505-5,507-7,62-62,62-E,7-7,7-7A,7-E"
"de:08222:2444"	"2444"	"Nationaltheater"	"MINA"	"244402"	"D"	49.4876489	8.478515	"94"	"Keine"	"1-1,105-5,107-7,107-E,14-5A,14-E,15-E,2-2,2-E,250-BS,3-3,4-E,5-5,5-E,502-2,505-5,507-7,62-62,62-E,7-7,7-7A,7-E"
"de:08222:2444"	"2444"	"Nationaltheater"	"MINA"	"244403"	"A"	49.4876961	8.4767461	"94"	"Keine"	"1-1,105-5,107-7,107-E,14-5A,14-E,15-E,2-2,2-E,250-BS,3-3,4-E,5-5,5-E,502-2,505-5,507-7,62-62,62-E,7-7,7-7A,7-E"
"de:08222:2444"	"2444"	"Nationaltheater"	"MINA"	"244404"	"C"	49.4877081	8.4784611	"94"	"Keine"	"1-1,105-5,107-7,107-E,14-5A,14-E,15-E,2-2,2-E,250-BS,3-3,4-E,5-5,5-E,502-2,505-5,507-7,62-62,62-E,7-7,7-7A,7-E"
"de:08222:2444"	"2444"	"Nationaltheater"	"MINA"	"244411"	"E"	49.4877781	8.4769611	"94"	"Keine"	"1-1,105-5,107-7,107-E,14-5A,14-E,15-E,2-2,2-E,250-BS,3-3,4-E,5-5,5-E,502-2,505-5,507-7,62-62,62-E,7-7,7-7A,7-E"
"de:08222:2444"	"2444"	"Nationaltheater"	"MINA"	"244412"	"F"	49.4876139	8.4781919	"94"	"Keine"	"1-1,105-5,107-7,107-E,14-5A,14-E,15-E,2-2,2-E,250-BS,3-3,4-E,5-5,5-E,502-2,505-5,507-7,62-62,62-E,7-7,7-7A,7-E"
"de:08222:2445"	"2445"	"Neckarspitze"	"MINE"	"244511"	"A"	49.5025219	8.4457	"94"	"Keine"	"62-62,62-E"
"de:08222:2446"	"2446"	"Neckarstadt West"	"NSWE"	"244611"	"B"	49.5038811	8.4606389	"94"	"Rampe"	"102-2,102-E,2-2,2-E,502-2,502-E,51-E,53-E,60-60,60-60E,60-E"
"de:08222:2446"	"2446"	"Neckarstadt West"	"NSWE"	"244612"	"C"	49.5036539	8.4606839	"94"	"Keine"	"102-2,102-E,2-2,2-E,502-2,502-E,51-E,53-E,60-60,60-60E,60-E"
"de:08222:2446"	"2446"	"Neckarstadt West"	"NSWE"	"244621"	"A"	49.5028889	8.4599381	"94"	"Ebenerdig"	"102-2,102-E,2-2,2-E,502-2,502-E,51-E,53-E,60-60,60-60E,60-E"
"de:08222:2447"	"2447"	"Abendakademie"	"MIAA"	"244721"	"A"	49.4915819	8.4696311	"94"	"Ebenerdig"	"1-1,1-E,107-7,14-5A,14-E,15-15,15-E,2-E,285-E,290-%,290-E,291-&,291-E,292-E,3-3,3-E,4-4,4-4A,4-E,5-5,5-E,501-1,6-E,7-7,7-7A,7-E"
"de:08222:2447"	"2447"	"Abendakademie"	"MIAA"	"244722"	"B"	49.4918269	8.4700531	"94"	"Ebenerdig"	"1-1,1-E,107-7,14-5A,14-E,15-15,15-E,2-E,285-E,290-%,290-E,291-&,291-E,292-E,3-3,3-E,4-4,4-4A,4-E,5-5,5-E,501-1,6-E,7-7,7-7A,7-E"
"de:08222:2448"	"2448"	"Neckarvorlandstraße"	"MINV"	"244811"	"A"	49.5044531	8.444325	"94"	"Keine"	"62-62,62-E"
"de:08222:2449"	"2449"	"Neuer Meßplatz"	"NSNM"	"244901"	"A"	49.5048839	8.4699811	"94"	"Ebenerdig"	"1-1,1-E,285-E,3-3,3-E,501-1,501-E,503-1,503-3"
"de:08222:2449"	"2449"	"Neuer Meßplatz"	"NSNM"	"244902"	"B"	49.5053631	8.4699989	"94"	"Ebenerdig"	"1-1,1-E,285-E,3-3,3-E,501-1,501-E,503-1,503-3"
"de:08222:2449"	"2449"	"Neuer Meßplatz"	"NSNM"	"244991"	""	49.5044061	8.4724431	"94"	""	"1-1,1-E,285-E,3-3,3-E,501-1,501-E,503-1,503-3"
"de:08222:2449"	"2449"	"Neuer Meßplatz"	"NSNM"	"244992"	""	49.504505	8.47185	"94"	""	"1-1,1-E,285-E,3-3,3-E,501-1,501-E,503-1,503-3"
"de:08222:2450"	"2450"	"Otto-Beck-Straße"	"OFOB"	"245011"	"A"	49.4806519	8.4849019	"94"	"Keine"	"60-60,60-E,62-62,63-63,63-63E,63-E,64-64,64-E"
